aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.2480,-0.2631,-0.5261,5.4321,85.9985,26.7944,21.7285,-23.1567,-5.6641
0.3221,-0.2316,-0.7710,8.3618,74.8291,27.7100,21.7285,-23.1567,-5.6641
0.3402,-0.2385,-0.8593,7.8125,62.4390,27.9541,21.7285,-23.1567,-5.6641
0.3474,-0.2574,-0.9023,-0.7324,35.0342,28.3203,21.7285,-23.1567,-5.6641
0.3580,-0.3450,-0.7329,-5.6763,21.4844,28.9307,23.1445,-23.3521,-5.1636
0.3699,-0.3850,-0.5853,-6.7139,9.7046,30.4565,23.1445,-23.3521,-5.1636
0.3715,-0.4000,-0.4584,-4.6997,0.3052,35.4614,23.1445,-23.3521,-5.1636
0.3727,-0.3849,-0.3403,4.4556,-12.1460,37.9028,23.1445,-23.3521,-5.1636
0.3755,-0.3649,-0.3612,8.2397,-17.7002,40.1611,23.1445,-23.3521,-5.1636
0.3835,-0.3604,-0.4247,11.9019,-29.0527,43.8843,22.0093,-24.2554,-6.0791
0.3518,-0.3483,-0.6102,13.0005,-36.4380,45.5933,22.0093,-24.2554,-6.0791
0.3265,-0.3357,-0.6655,11.6577,-45.8374,47.3633,22.0093,-24.2554,-6.0791
0.2998,-0.2969,-0.6554,6.8970,-68.2373,50.9644,22.0093,-24.2554,-6.0791
0.2710,-0.2111,-0.5066,7.9346,-79.8340,52.2461,19.5557,-24.3408,-6.1768
0.2581,-0.1746,-0.3779,10.3149,-90.4541,53.1006,19.5557,-24.3408,-6.1768
0.2441,-0.1382,-0.2423,18.9209,-107.4829,53.4668,19.5557,-24.3408,-6.1768
0.2004,-0.1661,-0.0032,22.2778,-113.8916,52.4902,19.5557,-24.3408,-6.1768
0.1464,-0.1996,0.1045,22.1558,-119.1406,51.6357,19.5557,-24.3408,-6.1768
0.1138,-0.2554,0.2076,20.7520,-127.4414,50.8423,15.2832,-25.0122,-7.4585
0.0320,-0.3805,0.4506,17.0288,-130.6763,52.2461,15.2832,-25.0122,-7.4585
-0.0081,-0.3789,0.5740,12.9395,-133.6060,55.1147,15.2832,-25.0122,-7.4585
-0.0591,-0.3717,0.7074,19.2871,-137.8784,61.8896,15.2832,-25.0122,-7.4585
-0.1360,-0.3633,0.9741,22.8271,-139.1602,65.2466,10.7666,-25.9766,-6.9458
-0.1919,-0.3232,1.1553,21.9727,-140.1978,68.6646,10.7666,-25.9766,-6.9458
-0.2269,-0.2610,1.3906,18.1274,-138.0615,74.9512,10.7666,-25.9766,-6.9458
-0.2511,-0.0928,1.9558,17.2119,-133.9111,77.4536,10.7666,-25.9766,-6.9458
-0.2570,0.0404,2.1744,15.6250,-126.7700,79.1016,7.9834,-28.1982,-5.2368
-0.2679,0.1438,2.3013,9.3384,-106.6895,78.0640,7.9834,-28.1982,-5.2368
-0.2993,0.4196,2.3667,2.8687,-96.5576,77.0874,7.9834,-28.1982,-5.2368
-0.3162,0.6108,2.3981,-1.8921,-87.1582,75.3174,7.9834,-28.1982,-5.2368
-0.3202,0.7787,2.4720,1.8311,-70.1904,67.2607,7.9834,-28.1982,-5.2368
-0.2855,1.0143,2.6973,4.6997,-60.1196,60.9741,5.5298,-29.4678,-7.2632
-0.2756,1.1210,2.7665,7.0801,-48.5229,53.5278,5.5298,-29.4678,-7.2632
-0.2665,1.2365,2.7845,12.5122,-21.9116,35.9497,5.5298,-29.4678,-7.2632
-0.2207,1.3538,2.6173,19.7754,-8.5449,25.2686,5.5298,-29.4678,-7.2632
-0.1978,1.3241,2.4363,26.9775,3.4180,13.7939,4.2603,-28.8940,-6.9702
-0.1788,1.2648,2.2297,29.6631,24.5361,-7.8125,4.2603,-28.8940,-6.9702
-0.1340,1.0839,1.7792,28.9307,32.1045,-17.7002,4.2603,-28.8940,-6.9702
-0.1113,0.9713,1.5541,29.7241,37.6587,-26.8555,4.2603,-28.8940,-6.9702
-0.0975,0.8699,1.3411,31.0059,42.9077,-41.5039,4.2603,-28.8940,-6.9702
-0.0538,0.6803,0.9956,30.4565,42.8467,-47.2412,6.0181,-27.3804,-7.5806
-0.0392,0.5966,0.8513,27.8320,41.3208,-52.3071,6.0181,-27.3804,-7.5806
-0.0432,0.5293,0.7142,16.2964,34.8511,-61.0352,6.0181,-27.3804,-7.5806
-0.0466,0.3798,0.5854,9.5825,29.5410,-64.6973,6.0181,-27.3804,-7.5806
-0.0521,0.3280,0.6111,2.5024,24.1089,-67.5049,7.8735,-26.0864,-6.8848
-0.0574,0.2948,0.6875,-3.8452,18.8599,-69.8853,7.8735,-26.0864,-6.8848
-0.0654,0.2545,0.7997,-15.9302,11.2305,-72.8760,7.8735,-26.0864,-6.8848
-0.1042,0.2828,1.0587,-18.8599,9.5215,-73.2422,7.8735,-26.0864,-6.8848
-0.1168,0.3322,1.1813,-17.5781,9.2773,-73.7915,7.8735,-26.0864,-6.8848
