aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.0520,0.6469,1.3418,-23.3765,26.5503,61.9507,4.5410,-25.4028,-6.2744
0.0676,0.6893,1.1859,-21.6064,30.0293,56.4575,3.7598,-26.0986,-6.8359
0.0822,0.7378,1.0292,-20.9961,32.4097,44.9829,3.7598,-26.0986,-6.8359
0.1006,0.8024,0.7452,-23.4375,32.4097,38.6963,3.7598,-26.0986,-6.8359
0.1115,0.8096,0.6217,-21.2402,30.3345,32.1045,3.7598,-26.0986,-6.8359
0.1229,0.8075,0.5083,-17.0288,26.9775,25.5127,3.7598,-26.0986,-6.8359
0.1244,0.7599,0.2955,-3.6011,15.9302,13.7939,3.6865,-27.0874,-6.3110
0.1354,0.7323,0.2712,0.0000,8.9111,8.5449,3.6865,-27.0874,-6.3110
0.1475,0.7256,0.2922,0.6104,1.8921,3.7842,3.6865,-27.0874,-6.3110
0.1412,0.7191,0.3226,-1.3428,-9.3994,-4.8828,3.6865,-27.0874,-6.3110
0.1333,0.6865,0.4709,-1.2817,-14.5874,-9.1553,3.4546,-26.4648,-6.9702
0.1123,0.6920,0.5431,-2.8076,-18.3716,-13.4277,3.4546,-26.4648,-6.9702
0.0850,0.6743,0.5853,-2.5635,-21.1182,-22.1558,3.4546,-26.4648,-6.9702
0.0729,0.5712,0.6661,8.1177,-25.8789,-25.9399,3.4546,-26.4648,-6.9702
0.0807,0.5890,0.6934,13.0615,-27.0996,-29.0527,3.4546,-26.4648,-6.9702
0.0747,0.5358,0.6406,14.8926,-28.9917,-35.5835,3.3569,-26.5381,-6.3232
0.0441,0.5117,0.5509,6.5918,-31.0669,-38.5132,3.3569,-26.5381,-6.3232
0.0188,0.5035,0.5365,6.8359,-33.9355,-41.6260,3.3569,-26.5381,-6.3232
0.0056,0.4695,0.5393,16.6016,-40.9546,-47.9736,3.3569,-26.5381,-6.3232
0.0009,0.4031,0.5649,20.9961,-44.3726,-50.7813,2.7832,-24.1455,-6.4697
0.0032,0.3704,0.5952,22.6440,-47.8516,-53.5889,2.7832,-24.1455,-6.4697
0.0034,0.3237,0.6511,24.9023,-53.3447,-58.2275,2.7832,-24.1455,-6.4697
-0.0463,0.2710,0.7296,21.5454,-55.1147,-60.6079,2.7832,-24.1455,-6.4697
-0.0671,0.2072,0.7828,23.3154,-57.0679,-63.0493,2.7832,-24.1455,-6.4697
-0.0728,0.1379,0.8643,28.6255,-59.5093,-66.6504,3.0151,-23.8037,-8.8013
-0.0962,0.0011,1.0048,29.1138,-59.4482,-67.4438,3.0151,-23.8037,-8.8013
-0.1156,-0.0637,1.0521,29.7852,-58.7158,-67.8101,3.0151,-23.8037,-8.8013
-0.1234,-0.1318,1.0988,31.4331,-56.2134,-66.2231,3.0151,-23.8037,-8.8013
-0.1171,-0.2261,1.1648,31.7383,-54.5044,-64.6362,2.2095,-22.3511,-8.3252
-0.1100,-0.2787,1.1920,33.2031,-52.9175,-62.8662,2.2095,-22.3511,-8.3252
-0.0933,-0.3374,1.2117,37.6587,-49.2554,-58.4106,2.2095,-22.3511,-8.3252

0.0123,-0.2212,1.4569,-6.7139,-18.3105,-1.4038,2.0386,-22.5830,-10.1318
0.0028,-0.2385,1.5785,-7.6294,-16.9067,0.3052,2.0386,-22.5830,-10.1318
-0.0024,-0.2546,1.7094,-9.0332,-9.6436,5.0049,2.0386,-22.5830,-10.1318
-0.0011,-0.2677,1.9264,-11.5356,-3.8452,7.4463,2.0386,-22.5830,-10.1318
-0.0007,-0.2777,1.9803,-15.0146,2.8076,9.5825,1.3428,-22.8027,-10.2905
-0.0153,-0.3043,1.9698,-22.3999,19.7144,13.6719,1.3428,-22.8027,-10.2905
-0.0438,-0.3407,1.8197,-26.1230,27.6489,15.9912,1.3428,-22.8027,-10.2905
-0.0431,-0.3414,1.7482,-29.9072,34.4849,18.4937,1.3428,-22.8027,-10.2905
-0.0408,-0.3184,1.6830,-43.1519,46.7529,23.0713,2.4170,-24.4263,-7.8369
-0.0436,-0.2549,1.5151,-47.7295,51.6357,24.5972,2.4170,-24.4263,-7.8369
-0.0468,-0.2308,1.4237,-50.9033,55.5420,26.0620,2.4170,-24.4263,-7.8369
-0.0447,-0.2158,1.3351,-51.6968,59.8145,29.1748,2.4170,-24.4263,-7.8369
-0.0190,-0.1597,1.2610,-53.0396,60.6079,31.1279,2.4170,-24.4263,-7.8369
-0.0160,-0.1049,1.2428,-55.2979,61.2793,33.3862,3.5645,-26.6846,-7.4219
-0.0112,-0.0508,1.2258,-54.3823,62.4390,36.5601,3.5645,-26.6846,-7.4219
0.0033,0.0680,1.2875,-56.0303,63.2324,37.7808,3.5645,-26.6846,-7.4219
0.0002,0.1639,1.3187,-59.5703,64.7583,38.2690,3.5645,-26.6846,-7.4219
0.0049,0.2587,1.3320,-57.9224,69.2749,36.4990,4.0283,-28.1494,-5.0537
0.0042,0.4420,1.3502,-58.0444,72.5098,34.0576,4.0283,-28.1494,-5.0537
0.0140,0.4938,1.3192,-54.0161,76.1108,30.7007,4.0283,-28.1494,-5.0537
0.0330,0.5133,1.2909,-51.0254,83.3740,22.0947,4.0283,-28.1494,-5.0537
0.0264,0.5870,1.1820,-57.9224,87.0361,17.3340,4.0283,-28.1494,-5.0537
0.0287,0.6106,1.0892,-55.6641,89.9048,12.3901,5.4443,-29.6021,-3.9673
0.0305,0.6077,0.9994,-51.2695,91.9800,2.4414,5.4443,-29.6021,-3.9673
0.0564,0.5200,0.8370,-38.9404,92.7734,-1.6479,5.4443,-29.6021,-3.9673
0.0707,0.4928,0.7817,-37.5977,92.1021,-4.0894,5.4443,-29.6021,-3.9673
0.0774,0.4680,0.7570,-35.3394,89.3555,-7.8735,8.0200,-30.2612,-2.2827
0.0865,0.4741,0.7478,-26.0010,87.8296,-8.9722,8.0200,-30.2612,-2.2827
0.0918,0.4954,0.7393,-18.9819,86.2427,-9.8877,8.0200,-30.2612,-2.2827
0.0957,0.5029,0.7080,-11.7187,83.7402,-12.4512,8.0200,-30.2612,-2.2827
0.1097,0.5615,0.6552,-8.3008,82.4585,-14.5264,8.0200,-30.2612,-2.2827
0.1134,0.6119,0.6360,-10.1929,81.1157,-17.0288,9.0454,-29.9072,-1.9897
