aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.2704,-1.4771,2.1575,12.2070,2.5024,3.1128,2.9663,-4.3579,-14.0015
-0.2423,-1.3336,2.0394,-4.9438,23.4985,18.1274,2.9663,-4.3579,-14.0015
-0.1866,-1.1003,1.8667,-14.7095,32.7759,23.0103,2.9663,-4.3579,-14.0015
-0.1660,-1.0042,1.7660,-24.8413,41.4429,26.9165,4.2603,-6.1890,-13.9282
-0.1444,-0.9320,1.6475,-44.3726,56.6406,31.9214,4.2603,-6.1890,-13.9282
-0.1040,-0.7931,1.4121,-51.9409,62.5610,33.6304,4.2603,-6.1890,-13.9282
-0.0911,-0.7350,1.3125,-53.8330,67.0166,35.2173,4.2603,-6.1890,-13.9282

0.0863,-0.4620,1.2831,30.1514,-43.0908,-15.6250,7.0435,-12.2314,-10.0464
0.0638,-0.5443,1.3800,24.9634,-39.6729,-15.9302,5.9448,-11.5845,-9.7046
0.0381,-0.6210,1.5192,3.1738,-29.9072,-13.3667,5.9448,-11.5845,-9.7046
-0.0419,-0.7639,1.8610,3.6621,-22.5220,-10.4980,5.9448,-11.5845,-9.7046
-0.0739,-0.8145,1.9982,-7.2021,-13.3667,-6.4087,5.9448,-11.5845,-9.7046
-0.0935,-0.8467,2.1415,-22.2168,7.4463,3.8452,5.9448,-11.5845,-9.7046
-0.1348,-0.8702,2.4319,-27.2217,20.4468,10.4370,5.3955,-11.8164,-10.2905
-0.1561,-0.8254,2.5413,-38.4521,35.4004,16.9067,5.3955,-11.8164,-10.2905
-0.1697,-0.7588,2.5826,-49.5605,52.0630,27.8320,5.3955,-11.8164,-10.2905
-0.2197,-0.6635,2.4867,-72.0215,86.8530,31.7993,5.3955,-11.8164,-10.2905
-0.2338,-0.6243,2.3816,-83.3740,103.8818,34.7900,7.8979,-14.9536,-8.9355
-0.2521,-0.5670,2.2627,-95.4590,135.6812,39.0625,7.8979,-14.9536,-8.9355
-0.2549,-0.4729,1.8129,-106.6284,148.0713,40.4663,7.8979,-14.9536,-8.9355
-0.2355,-0.3822,1.6023,-109.1919,158.0200,41.4429,7.8979,-14.9536,-8.9355
-0.2271,-0.2795,1.4249,-108.3374,171.0205,40.6494,7.8979,-14.9536,-8.9355
-0.1603,-0.0662,1.0134,-102.6001,174.2554,38.7573,11.6699,-18.4570,-6.4819
-0.1086,0.0312,0.8287,-96.4966,175.0488,35.5835,11.6699,-18.4570,-6.4819
-0.0544,0.0820,0.6510,-91.0645,171.3257,26.1841,11.6699,-18.4570,-6.4819
0.0558,0.1923,0.4326,-96.0693,167.4805,20.7520,11.6699,-18.4570,-6.4819
0.1163,0.2528,0.3607,-98.8770,163.0249,14.7095,15.7715,-21.1670,-3.9673
0.1699,0.2687,0.2405,-96.4966,157.7148,1.8921,15.7715,-21.1670,-3.9673
0.2638,0.2151,-0.0012,-82.0923,142.9443,-3.0518,15.7715,-21.1670,-3.9673
0.3188,0.1818,-0.1028,-75.0732,133.7280,-6.9580,15.7715,-21.1670,-3.9673
0.3754,0.1578,-0.1993,-65.9790,113.1592,-13.2446,15.7715,-21.1670,-3.9673
0.4535,0.1553,-0.3677,-46.3257,101.4404,-15.6250,19.1895,-23.0225,-2.0386
0.4794,0.1598,-0.4437,-33.5693,88.7451,-18.0054,19.1895,-23.0225,-2.0386
0.5033,0.1490,-0.4908,-4.6387,60.8521,-22.3999,19.1895,-23.0225,-2.0386
0.5631,0.1198,-0.5626,7.6294,46.0815,-24.4141,19.1895,-23.0225,-2.0386
0.5857,0.0786,-0.5830,17.1509,31.6772,-26.5503,20.2271,-22.5708,-1.2817
0.5937,0.0068,-0.5903,34.8511,2.8687,-29.7241,20.2271,-22.5708,-1.2817
0.5630,-0.1066,-0.5509,40.1611,-10.2539,-30.2734,20.2271,-22.5708,-1.2817
0.5426,-0.0986,-0.4736,41.7480,-23.6206,-30.3955,20.2271,-22.5708,-1.2817
0.5166,-0.0768,-0.3981,53.8330,-48.4009,-30.6396,20.5566,-20.8984,-3.3081
0.4625,-0.0366,-0.2747,61.0962,-59.6924,-31.7993,20.5566,-20.8984,-3.3081
0.4363,-0.0321,-0.2491,68.6646,-70.4346,-33.4473,20.5566,-20.8984,-3.3081
0.4122,-0.0577,-0.2375,79.9561,-90.6372,-38.0249,20.5566,-20.8984,-3.3081
0.3768,-0.1318,-0.0798,82.3975,-100.5859,-40.4053,20.5566,-20.8984,-3.3081
0.3512,-0.1821,-0.0112,79.1626,-108.4595,-42.7856,16.9678,-17.8833,-5.3833
0.3043,-0.2379,0.0027,62.4390,-121.0327,-46.2646,16.9678,-17.8833,-5.3833
0.1954,-0.3203,0.0042,48.8892,-126.8921,-47.4854,16.9678,-17.8833,-5.3833
0.1201,-0.3695,-0.0210,40.1001,-133.5449,-47.7295,16.9678,-17.8833,-5.3833
0.0476,-0.3822,-0.0126,19.7754,-149.6582,-45.9595,13.0493,-15.9668,-5.5298
-0.1597,-0.3650,0.1550,18.4937,-159.3018,-44.2505,13.0493,-15.9668,-5.5298
-0.2190,-0.3523,0.3353,20.9351,-168.7622,-42.6025,13.0493,-15.9668,-5.5298
-0.2637,-0.3594,0.5236,52.6733,-183.6548,-39.3066,13.0493,-15.9668,-5.5298
-0.1633,-0.3687,1.2321,84.0454,-188.2324,-38.0859,13.0493,-15.9668,-5.5298
-0.1273,-0.3911,1.4741,99.5483,-185.0586,-38.1470,9.1064,-14.4653,-7.9590
-0.0742,-0.3358,1.5439,86.7310,-166.0767,-40.1001,9.1064,-14.4653,-7.9590
-0.2300,-0.3243,1.6548,33.8745,-154.3579,-40.0391,9.1064,-14.4653,-7.9590
-0.3214,-0.2999,1.6224,16.3574,-144.3481,-39.7339,9.1064,-14.4653,-7.9590
-0.3704,-0.3437,1.6876,21.3623,-129.7607,-39.4897,6.3232,-13.0859,-9.9365
-0.3263,-0.5448,1.9529,36.1328,-123.2910,-38.8184,6.3232,-13.0859,-9.9365
-0.2592,-0.6216,2.0509,47.5464,-114.2578,-36.3770,6.3232,-13.0859,-9.9365
-0.1917,-0.6620,2.0345,28.1372,-90.1489,-29.9683,6.3232,-13.0859,-9.9365
-0.1732,-0.6510,1.7834,8.7280,-78.6133,-26.8555,6.3232,-13.0859,-9.9365
-0.2013,-0.6219,1.7150,-2.7466,-70.0684,-23.6816,3.7109,-11.5967,-13.2080
-0.2109,-0.5994,1.6946,-3.9673,-58.0444,-17.7612,3.7109,-11.5967,-13.2080
-0.1528,-0.5559,1.8120,9.8267,-52.7954,-14.9536,3.7109,-11.5967,-13.2080
-0.1342,-0.5326,1.9333,20.1416,-46.4478,-12.6953,3.7109,-11.5967,-13.2080
-0.1384,-0.5000,2.0791,25.5737,-27.8931,-10.2539,1.7578,-10.5957,-12.6221
-0.1733,-0.4685,2.3954,27.7100,-15.6860,-9.7046,1.7578,-10.5957,-12.6221
-0.2047,-0.4777,2.5254,27.4048,-2.0142,-9.7656,1.7578,-10.5957,-12.6221
-0.2386,-0.5253,2.6213,22.8882,30.1514,-8.7280,1.7578,-10.5957,-12.6221
-0.2513,-0.6562,2.6799,18.1274,47.9736,-6.8970,1.7578,-10.5957,-12.6221
-0.2552,-0.7616,2.6091,10.4980,66.7114,-4.3945,3.6133,-10.5103,-13.7085
-0.2856,-0.8539,2.4790,-7.0190,101.3184,2.1362,3.6133,-10.5103,-13.7085
-0.3793,-0.9231,2.1709,-47.4854,118.6523,7.3853,3.6133,-10.5103,-13.7085
-0.4209,-0.9194,1.9999,-61.0352,131.3477,12.3901,3.6133,-10.5103,-13.7085
-0.4376,-0.8950,1.8451,-68.4204,150.2686,23.5596,7.0068,-14.4287,-9.8755
-0.4186,-0.7815,1.5283,-63.5986,157.1655,28.8086,7.0068,-14.4287,-9.8755
-0.3944,-0.7035,1.4158,-62.6221,162.5977,33.4473,7.0068,-14.4287,-9.8755
-0.3829,-0.6106,1.3219,-61.0962,170.4712,40.5884,7.0068,-14.4287,-9.8755
-0.3164,-0.4243,1.1136,-67.5049,173.9502,41.5649,10.3638,-15.7593,-6.4575
-0.2792,-0.3501,1.0184,-74.8901,176.6357,41.0767,10.3638,-15.7593,-6.4575
-0.2329,-0.2687,0.9302,-82.9468,179.9316,37.4756,10.3638,-15.7593,-6.4575
-0.1361,-0.0991,0.7166,-100.0366,180.6030,34.2407,10.3638,-15.7593,-6.4575
-0.0773,-0.0519,0.5491,-99.3652,180.2368,30.5786,10.3638,-15.7593,-6.4575
-0.0242,0.0026,0.3672,-99.9756,174.3164,21.9116,14.5020,-18.6646,-5.0293
0.0829,0.1023,0.0609,-106.6895,168.1519,16.4795,14.5020,-18.6646,-5.0293
0.1537,0.1428,-0.0942,-98.5107,160.0342,11.4136,14.5020,-18.6646,-5.0293
0.2272,0.1917,-0.2563,-89.2334,149.9023,6.2866,14.5020,-18.6646,-5.0293
0.2753,0.2518,-0.3914,-69.3970,124.3896,-4.2114,14.5020,-18.6646,-5.0293
0.3560,0.2312,-0.5613,-53.1616,109.0698,-9.5825,18.2739,-20.8374,-2.9297
0.4089,0.2041,-0.6108,-35.2783,92.4683,-14.2212,18.2739,-20.8374,-2.9297
0.4475,0.1837,-0.6312,-22.2778,76.1719,-18.5547,18.2739,-20.8374,-2.9297
0.4866,0.1527,-0.6178,0.4883,43.5791,-25.8179,18.2739,-20.8374,-2.9297
0.5254,0.0580,-0.6145,8.9111,28.7476,-28.3203,20.8252,-20.8862,-2.7832
0.5081,0.0525,-0.5608,9.2773,14.4653,-30.7617,20.8252,-20.8862,-2.7832
0.5015,0.0447,-0.4902,10.7422,0.5493,-32.8979,20.8252,-20.8862,-2.7832
0.4998,0.0414,-0.4324,27.0996,-24.0479,-36.2549,20.8252,-20.8862,-2.7832
