aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.6527,0.9454,3.9995,33.6914,-112.9761,17.3950,4.3213,-27.4658,-6.9702
-0.5422,0.7046,3.9995,40.7715,-40.6494,-6.2256,4.3213,-27.4658,-6.9702
-0.3888,0.0588,3.9927,41.9922,-6.5308,-12.6343,2.0630,-26.8921,-9.4482
-0.3319,-0.2600,3.5319,41.5039,17.6392,-15.2588,2.0630,-26.8921,-9.4482
-0.2896,-0.4949,3.0029,42.8467,51.2695,-8.8501,2.0630,-26.8921,-9.4482
-0.2097,-0.5869,1.8638,43.7012,59.5093,-2.9297,2.0630,-26.8921,-9.4482
-0.1587,-0.4686,1.4196,40.7104,61.9507,3.1738,3.8574,-25.0610,-9.8267
-0.1085,-0.2955,1.1311,28.3813,55.1758,10.6812,3.8574,-25.0610,-9.8267
-0.0327,0.0098,0.8910,24.6582,49.4995,10.9253,3.8574,-25.0610,-9.8267
-0.0031,0.0754,0.8541,22.4609,44.0674,9.0332,3.8574,-25.0610,-9.8267
0.0186,0.0876,0.8594,18.5547,39.0015,6.1035,3.8574,-25.0610,-9.8267
0.0327,0.0453,0.9103,4.1504,32.2266,-0.1831,4.7119,-24.6216,-8.9478
0.0388,-0.1243,1.0441,-1.0376,30.7617,-2.1362,4.7119,-24.6216,-8.9478
0.0336,-0.2145,1.0540,-3.1128,30.4565,-2.8076,4.7119,-24.6216,-8.9478
0.0289,-0.2926,1.0417,-7.1411,31.0059,-0.8545,4.7119,-24.6216,-8.9478
0.0115,-0.3518,0.9941,-9.0942,31.6162,1.7700,5.0659,-24.2676,-8.2275
0.0033,-0.2839,0.9032,-9.7656,32.0435,4.8218,5.0659,-24.2676,-8.2275
-0.0029,-0.2003,0.7996,-8.6060,30.1514,8.5449,5.0659,-24.2676,-8.2275
0.0070,-0.0267,0.5895,-7.6294,27.4048,8.9722,5.0659,-24.2676,-8.2275
0.0134,0.0172,0.5411,-8.6060,23.3765,8.3618,5.0659,-24.2676,-8.2275
0.0190,0.0417,0.5641,-10.3149,18.9819,5.7373,5.6641,-24.8291,-8.1909
0.0452,0.0636,0.6476,-10.2539,10.8643,4.0894,5.6641,-24.8291,-8.1909
0.0570,0.0215,0.6898,-9.7046,7.7515,2.2583,5.6641,-24.8291,-8.1909
0.0668,-0.0275,0.7358,-9.0332,3.4790,0.9766,5.6641,-24.8291,-8.1909
0.0673,-0.1189,0.8009,-7.0801,1.7090,1.4648,6.0303,-24.9023,-7.7393
0.0627,-0.1149,0.8507,-7.0801,0.1221,2.3193,6.0303,-24.9023,-7.7393
0.0529,-0.0941,0.9095,-6.7139,-0.8545,4.2114,6.0303,-24.9023,-7.7393
0.0300,-0.0181,0.9980,-6.4087,-0.8545,4.3945,6.0303,-24.9023,-7.7393
0.0216,0.0178,1.0415,-5.7373,-0.6714,3.9673,6.0303,-24.9023,-7.7393
0.0151,0.0361,1.0637,-2.6245,0.6714,1.5869,6.0547,-25.0854,-8.8257
0.0243,0.0253,1.0648,-1.8921,1.4038,0.1221,6.0547,-25.0854,-8.8257
0.0245,-0.0277,1.0823,-1.8921,2.3193,-1.4648,6.0547,-25.0854,-8.8257
0.0198,-0.0975,1.0980,-0.7324,4.5166,-2.6245,6.0547,-25.0854,-8.8257
0.0240,-0.1987,1.0732,0.0610,5.5542,-1.9531,6.2012,-24.7314,-7.8369

0.0841,0.2905,1.4163,-4.6997,15.3809,9.5825,5.5054,-26.6357,-7.2144
0.0729,0.4415,1.4537,-5.0659,18.6768,9.3384,5.5054,-26.6357,-7.2144
0.0601,0.6262,1.4818,-7.0190,22.4609,7.6294,5.5298,-26.0010,-6.8359
0.0574,0.9530,1.4635,-9.6436,30.8228,-2.0752,5.5298,-26.0010,-6.8359
0.0511,1.0118,1.3849,-7.5684,35.4614,-9.6436,5.5298,-26.0010,-6.8359
0.0408,1.0525,1.2856,-7.6904,39.3066,-18.3716,5.5298,-26.0010,-6.8359
0.0337,1.1217,1.1912,-23.7427,43.9453,-36.8042,5.5298,-26.0010,-6.8359
-0.0154,1.1932,1.0463,-29.9072,45.3491,-46.9971,6.7993,-25.9399,-5.6396
-0.0411,1.1870,0.9611,-30.5176,45.7153,-57.3730,6.7993,-25.9399,-5.6396
-0.0757,1.1521,0.8008,-22.3389,45.1050,-78.9185,6.7993,-25.9399,-5.6396
-0.0911,0.7747,0.5043,-14.7705,42.9688,-87.7686,6.7993,-25.9399,-5.6396
-0.0856,0.5997,0.3142,-8.3008,39.6729,-93.9941,7.6416,-25.5859,-7.1777
-0.0698,0.3882,0.1450,-4.2725,28.3203,-101.3184,7.6416,-25.5859,-7.1777
-0.0197,0.2360,-0.1115,-16.9678,20.6909,-103.2104,7.6416,-25.5859,-7.1777
-0.0154,0.1719,-0.2513,-22.0337,12.0239,-105.4077,7.6416,-25.5859,-7.1777
0.0009,0.0499,-0.4589,-21.6675,-7.9346,-110.6567,7.6416,-25.5859,-7.1777
0.0522,-0.3574,-0.8108,-25.8179,-21.3623,-112.3047,8.2520,-25.3418,-5.7739
0.0803,-0.6848,-0.8169,-36.6211,-36.7432,-112.4268,8.2520,-25.3418,-5.7739
0.0801,-1.0660,-0.7936,-47.3633,-67.5659,-101.7456,8.2520,-25.3418,-5.7739
0.0577,-1.5760,-0.9229,-46.4478,-83.6182,-90.2100,8.2520,-25.3418,-5.7739
0.0449,-1.7764,-0.9269,-47.3022,-101.3794,-76.7212,5.8228,-26.4038,-5.8594
-0.0040,-2.0477,-0.7097,-49.0723,-137.2070,-43.3960,5.8228,-26.4038,-5.8594
-0.1071,-2.4319,-0.0562,-43.3350,-151.4893,-22.1558,5.8228,-26.4038,-5.8594
-0.1995,-2.5087,0.3608,-35.3394,-162.7808,0.4272,5.8228,-26.4038,-5.8594
-0.2856,-2.3906,0.7397,-25.8789,-173.5840,48.6450,5.8228,-26.4038,-5.8594
-0.4470,-1.8787,1.5511,-13.2446,-174.5605,69.1528,3.7231,-28.0640,-2.6978
-0.5155,-1.6311,1.9509,-7.1411,-170.7153,86.1816,3.7231,-28.0640,-2.6978
-0.5762,-1.5220,2.1637,20.3857,-152.3437,112.2437,3.7231,-28.0640,-2.6978
-0.6290,-1.2627,2.6011,24.0479,-141.4185,124.2676,3.7231,-28.0640,-2.6978
-0.6547,-1.0532,2.8820,13.1836,-128.4790,134.7656,2.0508,-29.3457,-5.6641
-0.6766,-0.8472,3.2141,-1.4648,-92.5903,151.1230,2.0508,-29.3457,-5.6641
-0.7029,-0.3179,3.5937,2.0752,-68.7866,156.3110,2.0508,-29.3457,-5.6641
-0.7390,-0.1143,3.5160,5.7983,-44.0674,158.8745,2.0508,-29.3457,-5.6641
-0.7546,0.2007,3.5020,-6.4697,0.0610,159.9731,2.0508,-29.3457,-5.6641
-0.8104,0.7998,3.6392,-10.3760,22.0947,155.2734,0.0854,-29.4556,-7.0923
-0.8242,1.0245,3.5431,-5.9204,45.4712,148.0713,0.0854,-29.4556,-7.0923
