aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.0991,-0.3440,1.0356,2.5024,17.7002,-3.8452,1.1841,-10.0220,-13.9648
-0.0801,-0.4158,1.0049,2.0142,19.1040,-5.1270,2.0386,-9.0942,-13.6353
-0.0773,-0.4510,0.9730,0.9766,20.5078,-6.2866,2.0386,-9.0942,-13.6353
-0.0773,-0.4827,0.9315,0.0000,22.5220,-7.2632,2.0386,-9.0942,-13.6353
-0.0669,-0.5540,0.8541,0.6104,23.0713,-7.3242,2.0386,-9.0942,-13.6353
-0.0615,-0.5952,0.8140,1.9531,23.1934,-6.7749,2.8320,-9.1675,-11.5356
-0.0620,-0.6162,0.7690,4.2725,22.1558,-4.2114,2.8320,-9.1675,-11.5356
-0.0371,-0.5706,0.6892,4.5166,21.1182,-3.3569,2.8320,-9.1675,-11.5356
-0.0281,-0.5630,0.6713,4.3945,19.6533,-2.9907,2.8320,-9.1675,-11.5356
-0.0283,-0.5632,0.6538,3.7842,16.2964,-2.3804,2.8320,-9.1675,-11.5356
-0.0297,-0.5438,0.6252,2.8076,14.2212,-1.8921,3.6743,-9.1309,-11.9263
-0.0229,-0.5422,0.6553,2.0752,11.7798,-1.5869,3.6743,-9.1309,-11.9263
-0.0214,-0.5563,0.7050,-0.9766,8.6060,-1.0986,3.6743,-9.1309,-11.9263
-0.0175,-0.5793,0.7550,-1.0986,7.6904,-0.4883,3.6743,-9.1309,-11.9263
-0.0204,-0.5765,0.7626,-1.5869,7.0801,0.4272,4.4189,-9.5337,-11.2305
-0.0133,-0.5554,0.7898,-3.9673,5.7373,2.0142,4.4189,-9.5337,-11.2305
-0.0172,-0.5137,0.8618,-4.6387,5.4932,2.1973,4.4189,-9.5337,-11.2305
-0.0179,-0.5110,0.8774,-3.3569,5.6152,1.9531,4.4189,-9.5337,-11.2305
-0.0190,-0.5144,0.8763,-1.6479,6.6528,1.9531,4.4189,-9.5337,-11.2305
-0.0165,-0.5112,0.8660,-2.5024,6.8359,2.0752,4.5288,-9.5825,-10.9985
-0.0204,-0.4758,0.8627,-3.9673,6.7749,2.4414,4.5288,-9.5825,-10.9985
-0.0242,-0.4446,0.8822,-4.2725,6.5308,1.7700,4.5288,-9.5825,-10.9985
-0.0223,-0.4377,0.9042,-1.9531,6.6528,0.7935,4.5288,-9.5825,-10.9985
-0.0214,-0.4636,0.9017,-0.4272,6.8970,-0.2441,4.7363,-9.3506,-10.7788
-0.0233,-0.4965,0.8878,0.1221,7.3853,-1.1597,4.7363,-9.3506,-10.7788
-0.0193,-0.5220,0.8522,-1.1597,7.4463,-1.1597,4.7363,-9.3506,-10.7788
-0.0211,-0.5137,0.8501,-1.6479,7.1411,-0.6714,4.7363,-9.3506,-10.7788

