aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
-0.0717,-0.4463,1.2863,3.2959,51.5137,-18.6157,6.8726,-5.7129,-8.4473
-0.0815,-0.4369,1.2321,3.9062,54.8706,-19.5313,6.8726,-5.7129,-8.4473
-0.0819,-0.4232,1.1699,2.2583,59.5703,-22.2168,6.8726,-5.7129,-8.4473
-0.0681,-0.4303,1.1127,1.0986,60.5469,-24.2310,6.8726,-5.7129,-8.4473
-0.0533,-0.4692,1.1189,0.6104,61.2183,-26.3062,6.8726,-5.7129,-8.4473
-0.0474,-0.5258,1.1625,0.4272,63.2324,-29.0527,8.5449,-5.3345,-7.6660
-0.0314,-0.6029,1.2678,-0.7935,65.7349,-29.2358,8.5449,-5.3345,-7.6660
-0.0314,-0.6205,1.3179,-1.7700,68.6646,-29.1138,8.5449,-5.3345,-7.6660
-0.0305,-0.6146,1.3365,2.5635,77.0874,-27.9541,8.5449,-5.3345,-7.6660
-0.0297,-0.5646,1.2670,5.4932,81.4209,-27.8320,9.7046,-4.1504,-4.5654
-0.0262,-0.5446,1.1998,5.9204,85.8765,-28.1982,9.7046,-4.1504,-4.5654
-0.0287,-0.5436,1.1178,3.0518,93.2617,-30.0903,9.7046,-4.1504,-4.5654
-0.0153,-0.5775,0.9636,2.5635,96.3745,-31.1890,9.7046,-4.1504,-4.5654
-0.0062,-0.5957,0.8584,2.0752,99.0601,-31.9214,9.7046,-4.1504,-4.5654
-0.0039,-0.6119,0.7448,1.6479,102.3560,-33.4473,8.8013,-2.2461,-2.7710
0.0173,-0.6750,0.4706,0.6714,102.2949,-34.5459,8.8013,-2.2461,-2.7710
0.0400,-0.7272,0.3522,-0.1221,100.5859,-35.5225,8.8013,-2.2461,-2.7710
0.0625,-0.8083,0.2697,0.1831,97.4121,-36.0107,8.8013,-2.2461,-2.7710
0.0911,-0.8853,0.2057,3.6011,88.8672,-33.2642,8.7646,-0.8911,-2.3315
0.1360,-0.9741,0.1125,3.1128,84.4727,-30.7617,8.7646,-0.8911,-2.3315
0.1555,-0.9733,0.0822,1.2817,79.6509,-27.8931,8.7646,-0.8911,-2.3315
0.1726,-0.9478,0.0624,-0.5493,69.9463,-23.1323,8.7646,-0.8911,-2.3315
0.2061,-0.8888,0.0468,0.7324,65.7959,-21.3623,8.7646,-0.8911,-2.3315
0.2295,-0.8628,0.0135,1.8921,61.5845,-20.0806,8.6182,0.5859,-2.6245
0.2501,-0.8512,-0.0251,1.5259,57.2510,-18.6768,8.6182,0.5859,-2.6245
0.2833,-0.8761,-0.0613,-1.9531,47.8516,-18.1274,8.6182,0.5859,-2.6245
0.2969,-0.9104,-0.0514,-3.2349,42.6636,-17.3340,8.6182,0.5859,-2.6245
0.3093,-0.9541,-0.0343,-4.4556,32.7148,-13.9160,8.3984,0.9766,-2.7100
0.3252,-0.9733,0.0398,-4.1504,28.1372,-11.3525,8.3984,0.9766,-2.7100
0.3269,-0.9512,0.0819,-3.6621,24.3530,-8.5449,8.3984,0.9766,-2.7100
0.3290,-0.9044,0.1138,-3.4180,18.1885,-4.1504,8.3984,0.9766,-2.7100
0.3409,-0.8271,0.1719,-3.1738,15.5640,-3.2959,8.3984,0.9766,-2.7100
0.3479,-0.8026,0.1715,-2.8687,13.1836,-2.8076,9.4604,1.0742,-3.2959
0.3518,-0.8016,0.1725,-1.4648,7.2632,-1.8311,9.4604,1.0742,-3.2959
